url,brand,discovered,confidence_level,ip,domain,sld,resolved,handle,category,registrar,registration_date,handle_status,resolved_status
https://***********************.go.id.test/account/item-02797,PesanKita Simulasi,2026-06-16 19:48:08,100,198.51.100.9,***********************.go.id.test,go.id,1,1,online gambling,Registrar Simulasi 17,2020-05-28,1,1
http://*********.desa.id.test/promo/item-08250,,2025-02-16 19:52:58,100,203.0.113.68,*********.desa.id.test,desa.id,1,1,online gambling,Registrar Simulasi 13,2025-06-01,1,1
https://*********.go.id.test/access/item-00175,-,2026-06-08 06:35:12,50,192.0.2.19,*********.go.id.test,go.id,1,1,online gambling,Registrar Simulasi 23,2015-09-07,1,1
https://******.id.test/service/item-06065,,2025-10-01 08:23:26,100,203.0.113.129,******.id.test,id,1,1,phishing,Registrar Simulasi 10,2017-11-23,1,1
https://*********.desa.id.test/member/item-00295,AkunNusa Simulasi,2025-10-05 20:37:28,90,,*********.desa.id.test,desa.id,1,1,online gambling,Registrar Simulasi 13,2015-11-17,1,1
http://*********************.biz.id.test/access/item-03060,DompetAwan Simulasi,2025-07-07 00:05:29,100,198.51.100.11,*********************.biz.id.test,biz.id,1,1,phishing,Registrar Simulasi 19,2020-02-23,1,1
https://************************.go.id.test/account/item-00818,BankPelangi Simulasi,2025-05-25 15:52:51,100,198.51.100.180,************************.go.id.test,go.id,1,1,phishing,Registrar Simulasi 24,2020-07-29,1,0
http://****************.my.id.test/documents/item-08782,LayananFiksi Simulasi,2025-03-16 15:13:45,100,,****************.my.id.test,my.id,1,1,phishing,Registrar Simulasi 23,2022-07-19,1,1
https://***************.desa.id.test/account/item-03784,BankPelangi Simulasi,2025-01-05 08:24:50,100,,***************.desa.id.test,desa.id,1,1,other,Registrar Simulasi 20,2026-05-02,1,1
http://****************************.id.test/documents/item-08340,AkunNusa Simulasi,2025-05-07 02:12:55,100,,****************************.id.test,id,1,1,phishing,Registrar Simulasi 21,2023-04-02,1,1
http://****************.go.id.test/documents/item-05363,-,2025-04-21 03:06:18,100,203.0.113.171,****************.go.id.test,go.id,1,1,online gambling,Registrar Simulasi 23,2020-03-09,1,1
http://************************.go.id.test/portal/item-01330,-,2025-09-24 09:00:58,100,192.0.2.34,************************.go.id.test,go.id,1,1,malware,Registrar Simulasi 06,2018-05-10,1,1
https://****************.my.id.test/service/item-07844,,2026-05-21 01:14:01,100,203.0.113.189,****************.my.id.test,my.id,1,1,violence,Registrar Simulasi 15,2016-09-30,1,0
https://********.go.id.test/promo/item-00223,-,2025-10-19 18:29:51,100,192.0.2.6,********.go.id.test,go.id,1,1,phishing,Registrar Simulasi 22,2015-10-18,1,1
